"Id","Description","baseMean","All_TMP","minus.5614_TMP","minus.6086_TMP","minus.10675_TMP","minus.SICO_TMP","FoldChange.minus5614vsAll","log2FoldChange.minus5614vsAll","stat.minus5614vsAll","pvalue.minus5614vsAll","padj.minus5614vsAll","FoldChange.minus6086vsAll","log2FoldChange.minus6086vsAll","stat.minus6086vsAll","pvalue.minus6086vsAll","padj.minus6086vsAll","FoldChange.minus10675vsAll","log2FoldChange.minus10675vsAll","stat.minus10675vsAll","pvalue.minus10675vsAll","padj.minus10675vsAll","FoldChange.minusSICOvsAll","log2FoldChange.minusSICOvsAll","stat.minusSICOvsAll","pvalue.minusSICOvsAll","padj.minusSICOvsAll"
"NLANBGKA_00011","hypothetical protein",0.34,0,0,0.0224025628531904,0.0222826527765522,0,2.212,1.145,0.462,0.64416189423768,NA,2.743,1.456,0.592,0.553725964239257,1,1.843,0.882,0.366,0.71422551233319,NA,3.585,1.842,0.723,0.469692915419503,NA
"NLANBGKA_00012","Nuclease SbcCD subunit C",147.46,0.523406136631227,0.556358092893327,0.510668429911252,0.550859159291915,0.524004820297559,1,0.001,0.004,0.996884282401329,0.996884282401329,0.954,-0.068,-0.462,0.643754478841551,1,1.014,0.02,0.142,0.886701164465066,0.93897683013129,0.883,-0.179,-0.889,0.374008259596994,0.606055828085194
"NLANBGKA_00013","Nuclease SbcCD subunit D",34.53,0.292201033873003,0.349421698353682,0.360001383163209,0.329805432886781,0.310090025336156,1.045,0.064,0.236,0.813818066531965,0.974993979129228,1.088,0.122,0.471,0.637702211264412,1,1.051,0.071,0.296,0.766906089602058,0.86323962639169,0.956,-0.065,-0.171,0.864154456770509,0.931503582367878
"NLANBGKA_00014","Beta-galactosidase",1475.73,5.87824963628912,6.13423527660507,5.63470308956561,4.73690974375615,5.18127030826724,0.982,-0.026,-0.272,0.785368603109934,0.97347900009576,0.926,-0.111,-1.19,0.234072792230193,1,0.784,-0.351,-3.834,0.000125891362944828,0.000970868717492996,0.799,-0.324,-3.086,0.00203205052342168,0.015481918445619
"NLANBGKA_00015","Lactose permease",898.45,5.30930776423209,5.88973971523127,5.72466752026085,5.49685630008323,4.73153138689887,1.044,0.062,0.602,0.547431475964661,0.918678109090121,1.041,0.058,0.571,0.567988060710809,1,1.011,0.016,0.158,0.874550436969383,0.930973045806118,0.797,-0.327,-2.734,0.00624834301973214,0.0359411662805485
"NLANBGKA_00016","Maltose epimerase",38.68,0.443024627865642,0.426066879314404,0.448695008869934,0.402752545875039,0.415982837102785,0.931,-0.103,-0.367,0.713891187795927,0.962846313332151,0.987,-0.018,-0.068,0.945635864428955,1,0.938,-0.093,-0.37,0.711071704577642,0.829778576312232,0.652,-0.616,-1.489,0.136519383819849,0.312336701213027
"NLANBGKA_00017","UDP-glucose 4-epimerase",109.9,1.12438168101808,1.64042819347224,1.15511112369153,1.18305495822656,1.24378451894496,1.344,0.427,2.13,0.0331699819849331,0.309940311667215,1.019,0.027,0.137,0.891175358703173,1,1.013,0.019,0.098,0.921609621804975,0.95378064992678,1.078,0.109,0.432,0.665813269720981,0.827386848203759
"NLANBGKA_00018","Galactose-1-phosphate uridylyltransferase",135.46,0.893495047796252,0.957661159078195,1.05060294759789,0.968142844774338,1.42739208809779,0.989,-0.016,-0.086,0.931075969948069,0.98830689537987,1.105,0.144,0.81,0.418079612897068,1,1.018,0.026,0.153,0.878507636737642,0.933784521745853,1.453,0.539,2.529,0.0114257452174015,0.057343418543897
"NLANBGKA_00019","Galactokinase",104.09,1.02176224924535,1.07603271284259,0.952108921260592,0.907960671127038,1.19184086059947,0.998,-0.003,-0.012,0.990095848518564,0.99578739881351,0.921,-0.119,-0.577,0.563728819426082,1,0.885,-0.176,-0.895,0.370792372821963,0.548221934386129,0.914,-0.13,-0.491,0.623159687420123,0.797769868291198
"NLANBGKA_00020","HTH-type transcriptional regulator LacR",129.4,1.58586373047805,1.42636541216178,1.58780702276691,1.70519515054401,1.16626003876551,0.873,-0.196,-1.105,0.269207552645235,0.790244371296006,0.98,-0.029,-0.169,0.865570133900582,1,1.076,0.106,0.664,0.506815089065449,0.663695603208704,0.661,-0.598,-2.479,0.013187328387237,0.0625203319317865
"NLANBGKA_00021","hypothetical protein",0.02,0,0,0,0,0,1,0,0,1,NA,4.642,2.215,0.459,0.646263331817302,1,1,0,0,1,NA,1,0,0,1,NA
"NLANBGKA_00022","hypothetical protein",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NLANBGKA_00023","Immunoglobulin A1 protease",1.69,0.00834267156370364,0.0177357983255278,0.0173110712956471,0.008609206754577,0.018278033751486,1.253,0.325,0.259,0.79529036904395,NA,0.816,-0.293,-0.23,0.817908845300854,1,0.718,-0.477,-0.403,0.686713755859693,NA,1.054,0.076,0.051,0.959708625798399,NA
"NLANBGKA_00024","hypothetical protein",0.47,0.0705918363082616,0,0.0732391477892763,0,0,1.718,0.78,0.369,0.712384115386169,NA,1.636,0.71,0.336,0.736901095650922,1,0.448,-1.157,-0.546,0.585181920967184,NA,2.075,1.053,0.473,0.635888394494958,NA
"NLANBGKA_00025","putative ABC transporter ATP-binding protein",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NLANBGKA_00026","hypothetical protein",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NLANBGKA_00027","Glutathione biosynthesis bifunctional protein GshAB",235.7,0.920128073259409,1.20057711742034,1.02029709334026,1.05000351876777,1.85059031377777,1.237,0.307,1.528,0.126454388392102,0.602662741953454,1.078,0.109,0.546,0.585354498801993,1,1.097,0.133,0.688,0.491339725786302,0.650383461651831,1.767,0.821,3.786,0.000153163889703795,0.00193470053974623
"NLANBGKA_00028","hypothetical protein",1.14,0,0.0696763505645735,0.0226692600300141,0.0225479224524636,0.0239355203888507,4.488,2.166,1.383,0.166624196653076,NA,1.475,0.561,0.332,0.739625975420973,1,1.389,0.474,0.303,0.762014918557059,NA,3.444,1.784,1.002,0.316243593805149,NA
"NLANBGKA_00029","DNA translocase FtsK",252.48,1.34686414050837,1.13076744050567,1.3357946059477,0.937589730635276,1.27537026549548,0.785,-0.349,-2.556,0.0105856398296326,0.1626845700133,0.944,-0.083,-0.632,0.527134706663827,1,0.659,-0.603,-4.74,2.13885579627861e-06,2.81021886566607e-05,0.878,-0.187,-1.135,0.256439933442033,0.481232972215942
"NLANBGKA_00030","Ferredoxin--NADP reductase 2",81.64,0.939806977356976,0.82268462112388,1.03240726401751,0.684587525062749,1.23541890778116,0.892,-0.165,-0.676,0.498863162410135,0.895906619572564,1.067,0.094,0.402,0.687899708900109,1,0.706,-0.502,-2.204,0.027538945196346,0.0831441770927979,1.077,0.106,0.368,0.712799130562725,0.859549767316434
"NLANBGKA_00031","tRNA (guanine-N(1)-)-methyltransferase",60.18,0.890815808810531,1.15913460186086,0.924222885909864,0.697381768906321,1.1777477814765,1.145,0.195,0.867,0.386166950221625,0.852732450484838,0.949,-0.076,-0.342,0.732320916155982,1,0.728,-0.457,-2.17,0.0299970874750737,0.0888640232299157,1.159,0.213,0.737,0.46100565278169,0.682901965072154
"NLANBGKA_00032","Ribosome maturation factor RimM",21.74,0.640251538609814,0.499077115671829,0.597835834279907,0.330353282443071,0.374062086076923,0.726,-0.462,-1.266,0.205343797665903,0.721572327359151,0.866,-0.208,-0.601,0.547530103756196,1,0.547,-0.869,-2.616,0.00888898256710042,0.0339268457100561,0.481,-1.055,-1.893,0.058405987784516,0.180786079836047
"NLANBGKA_00035","Transcriptional regulatory protein LiaR",36.43,0.617513633500307,0.72932254796563,0.640671423651987,0.47793166469334,0.807991585462886,1.114,0.156,0.567,0.570461229734041,0.923408592812477,0.989,-0.016,-0.058,0.953776454603925,1,0.727,-0.46,-1.808,0.0706791889818024,0.167156281941963,1.13,0.177,0.49,0.624328199259093,0.79859583576645
"NLANBGKA_00036","Sensor histidine kinase LiaS",33.84,0.316822884383507,0.406445378293346,0.49872372066031,0.281849030655795,0.430839366999313,1.196,0.259,0.755,0.45024278284987,0.878050660766607,1.409,0.495,1.504,0.132653654584153,1,0.807,-0.31,-0.96,0.337065568288461,0.519065328480878,1.3,0.379,0.908,0.363986842900009,0.596610013174451
"NLANBGKA_00037","hypothetical protein",10.09,0.237334622070879,0.201821153359454,0.180572381618388,0.130622447310823,0.0866630910630802,0.867,-0.206,-0.412,0.680558354661428,NA,0.757,-0.401,-0.815,0.415140786996593,1,0.566,-0.822,-1.766,0.0773866939487788,0.178846447415826,0.605,-0.724,-0.991,0.321550091572018,0.553475978820814
"NLANBGKA_00038","Serine/threonine-protein kinase StkP",191,1.14306652436235,1.21503029299121,1.04533306924919,0.966773843579786,1.52972179743576,1.01,0.015,0.105,0.916471837914297,0.98830689537987,0.92,-0.121,-0.869,0.384662901151792,1,0.828,-0.273,-2.075,0.0379715962878687,0.107979348962897,1.216,0.282,1.643,0.100456427224927,0.257208905948386
"NLANBGKA_00039","Putative protein phosphatase 2C-type",115.86,1.96274117931379,1.86334468938402,1.94307943114407,1.49975895626672,1.78900918106381,0.939,-0.092,-0.545,0.585714019558291,0.923408592812477,0.948,-0.078,-0.479,0.63224704175421,1,0.747,-0.421,-2.726,0.00641837941675574,0.0262469175572807,0.92,-0.12,-0.552,0.580910140802746,0.7708424998826
"NLANBGKA_00040","Ribosomal RNA small subunit methyltransferase B",59.07,0.465075627442664,0.564977467021338,0.54283133067346,0.359950544851998,0.645934133932605,1.053,0.074,0.338,0.735273899278376,0.96317987890538,1.082,0.114,0.54,0.588919021965745,1,0.708,-0.499,-2.464,0.0137443684745288,0.048476799434865,1.108,0.148,0.518,0.604803844698033,0.788155992322116
"NLANBGKA_00041","Methionyl-tRNA formyltransferase",17.01,0.23606273234917,0.21328580622982,0.208178156417107,0.146162738469989,0.232736378314741,0.954,-0.068,-0.172,0.863278695577575,0.988031274173523,0.904,-0.145,-0.377,0.706515181344765,1,0.625,-0.678,-1.854,0.0637756483803135,0.15657032015859,1.198,0.261,0.523,0.600918022081357,0.785642648743697
"NLANBGKA_00042","Primosomal protein N'",83.54,0.377197481226099,0.405834182235762,0.472475103783452,0.237346552131195,0.524061920092732,0.971,-0.042,-0.226,0.821458317706685,0.974993979129228,1.136,0.184,1.044,0.296337052446551,1,0.576,-0.796,-4.596,4.30957127782678e-06,5.13889213717328e-05,1.199,0.262,1.119,0.263232234846531,0.490129369347464
"NLANBGKA_00043","DNA-directed RNA polymerase subunit omega",8.57,0.247071427078915,0.225108209516315,0.256337017262467,0.327812103347355,0.463980856768491,1.073,0.102,0.184,0.853849326454655,NA,1.063,0.089,0.167,0.867568267688448,1,1.299,0.377,0.788,0.430503927995523,0.598320346548136,1.573,0.654,0.952,0.341178964817002,0.573020139868718
"NLANBGKA_00044","Guanylate kinase",76.36,1.26457337386666,1.21350199069401,1.29377480209573,1.63121812191985,1.59692294881404,0.885,-0.176,-0.822,0.410823766941769,0.862938430071049,0.996,-0.006,-0.03,0.97618132877394,1,1.249,0.321,1.712,0.0868590631735407,0.195639699433737,1.104,0.143,0.534,0.593374026877281,0.780593762943733
"NLANBGKA_00045","Signal recognition particle receptor FtsY",315.26,2.6242477031054,2.57035003810565,2.82136812088452,2.24174074801685,2.81394869504519,0.901,-0.151,-0.875,0.381769255134369,0.852732450484838,1.033,0.046,0.275,0.783015412339575,1,0.826,-0.276,-1.671,0.0946557182705723,0.208242580195259,0.944,-0.083,-0.429,0.668179898513914,0.827631919750189
"NLANBGKA_00046","Putative phosphatase",66.31,0.988806681277346,1.03666068441461,0.969675506523703,0.824704824165383,0.860618858557053,0.894,-0.161,-0.699,0.484679649999749,0.890549331525373,0.906,-0.143,-0.639,0.522524558432196,1,0.801,-0.32,-1.516,0.129560471848583,0.263768019444964,0.747,-0.421,-1.358,0.174344291613284,0.366459213501201
"NLANBGKA_00047","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI",57.79,0.889884966795055,0.768551260772872,0.952108921260592,0.77482860791193,0.807279824023965,0.871,-0.2,-0.901,0.367795538494677,0.850663740518382,1.031,0.045,0.213,0.831667002700752,1,0.861,-0.215,-1.092,0.274739811511925,0.450538723766004,0.896,-0.159,-0.533,0.594364822995827,0.781223703610364
"NLANBGKA_00048","HTH-type transcriptional repressor YtrA",129.03,3.14218381775334,3.74580060635147,3.65609825764067,4.42444353531221,4.88973958919754,1.084,0.117,0.574,0.565892180751991,0.923408592812477,1.124,0.168,0.852,0.394243506210365,1,1.338,0.42,2.24,0.0251129544108155,0.0765554139224777,1.388,0.473,2.002,0.0453295793214791,0.149079607854692
"NLANBGKA_00049","ABC-type transporter ATP-binding protein EcsA",265.67,3.89228780196242,4.13733364386882,4.05467075088563,4.53913004405111,5.37311164591097,1.013,0.019,0.112,0.910691909782358,0.98830689537987,1.017,0.024,0.148,0.882044082328835,1,1.13,0.176,1.12,0.26256756027986,0.434282278543923,1.241,0.311,1.658,0.097231518329784,0.253973600523779
"NLANBGKA_00050","hypothetical protein",226.85,2.88317614960179,3.31883674413325,3.13721713518816,3.41069723533817,3.94413356660418,1.088,0.122,0.594,0.552337558058039,0.920299954082439,1.047,0.066,0.325,0.745391295940232,1,1.134,0.182,0.921,0.356791157744746,0.535186736617119,1.287,0.364,1.606,0.108313957099073,0.269460619469527
"NLANBGKA_00051","Oligopeptide transport ATP-binding protein OppF",27.95,0.166313452532085,0.353568018398872,0.234175657009078,0.367771939030474,0.650674340667787,2.275,1.186,2.974,0.00293876363665588,0.0746190419046536,1.558,0.64,1.59,0.111904839164137,1,2.586,1.371,3.754,0.000173812612689182,0.00126918507514283,4.077,2.028,4.57,4.87273802583224e-06,0.000114396895806462
"NLANBGKA_00052","Oligopeptide transport ATP-binding protein OppD",42.38,0.223703769353605,0.486383388982619,0.29539113346589,0.55614044741478,0.701754980043202,2.203,1.139,3.72,0.00019908205764867,0.0105694474242567,1.372,0.457,1.461,0.143949985816273,1,2.737,1.453,5.203,1.95893711481892e-07,3.23224623945122e-06,3.751,1.907,5.545,2.94534771451836e-08,1.32194135657501e-06
"NLANBGKA_00053","Oligopeptide transport system permease protein OppC",26.58,0.214525840209522,0.405389676012064,0.22257091665832,0.393563737352091,0.430839366999313,2.116,1.082,2.885,0.00391761421668289,0.0863353472657663,1.159,0.213,0.55,0.582576556180864,1,2.212,1.145,3.312,0.000927778978037524,0.00520362992029742,2.2,1.138,2.471,0.0134686659306443,0.0634357537350714
"NLANBGKA_00054","Oligopeptide transport system permease protein OppB",36.45,0.103402126423369,0.345437681672252,0.145594120756147,0.373469814142213,0.45308928736078,3.011,1.59,4.291,1.78088475743319e-05,0.00130004587292623,1.329,0.41,1.049,0.294056586064479,1,3.837,1.94,5.639,1.7066331247047e-08,3.56134177052349e-07,4.609,2.204,5.332,9.6916127782054e-08,3.89194765777406e-06
"NLANBGKA_00055","Oligopeptide-binding protein AmiA",22.94,0.0821815407767821,0.349421698353682,0.198948132800721,0.46643911222559,0.585169886521455,3.689,1.883,4.355,1.33041528358529e-05,0.00119532696248278,2.335,1.224,2.776,0.00549996328501217,1,5.705,2.512,6.428,1.29500652058866e-10,3.90981755896875e-09,5.701,2.511,5.067,4.03901910241613e-07,1.339900684845e-05
"NLANBGKA_00056","hypothetical protein",0.01,0,0,0,0,0,1,0,0,1,NA,1,0,0,1,1,1.867,0.901,0.187,0.851717803288491,NA,1,0,0,1,NA
"NLANBGKA_00057","hypothetical protein",0.51,0,0.0591193277517594,0,0.05739471169718,0,2.226,1.154,0.451,0.651875881422869,NA,0.69,-0.535,-0.205,0.837811102537379,1,4.331,2.115,0.877,0.380512984901413,NA,3.574,1.838,0.7,0.48390497729273,NA
"NLANBGKA_00058","hypothetical protein",1.21,0.0205071256314503,0.0217981878861236,0.0212761770114099,0.0634868877991153,0,2.186,1.128,0.73,0.465386984164719,NA,2.495,1.319,0.881,0.378460298336055,1,4.739,2.245,1.652,0.0985820184273955,NA,1.783,0.834,0.474,0.635404174276403,NA
"NLANBGKA_00059","hypothetical protein",0.52,0.0539819924710235,0,0,0.0557066319413806,0,0.458,-1.128,-0.479,0.631871331858857,NA,0.144,-2.8,-1.16,0.245996197859089,1,0.556,-0.846,-0.379,0.704770891868216,NA,0.745,-0.424,-0.175,0.861342363703365,NA
"NLANBGKA_00060","Histidinol-phosphatase",35.7,0.596874063094244,0.618590039158653,0.495406267972991,0.492754597985545,0.588463525657598,0.982,-0.027,-0.092,0.926351152901972,0.98830689537987,0.829,-0.27,-0.945,0.344411337601362,1,0.831,-0.268,-1.012,0.311673464838292,0.49140516289504,0.773,-0.371,-0.92,0.357673339602881,0.588791279648324
"NLANBGKA_00061","hypothetical protein",26.83,0.514594694583589,0.437593528779378,0.605078566782432,0.51333401022618,0.300648031800144,0.891,-0.166,-0.511,0.609282966924236,0.923408592812477,1.121,0.165,0.541,0.58876619577368,1,1.01,0.015,0.052,0.958909512855855,0.976106598810945,0.646,-0.629,-1.305,0.191882589457947,0.392319267563526
"NLANBGKA_00062","Acid sugar phosphatase",84.27,1.41403413741218,1.44232756810713,1.3633310623498,1.41499180277561,0.610216068434825,0.926,-0.11,-0.48,0.631375247469345,0.931867997714746,0.887,-0.173,-0.771,0.440853051987019,1,0.941,-0.087,-0.409,0.682819762604994,0.804751863070172,0.404,-1.309,-3.81,0.000139056338327709,0.00178319304443768
"NLANBGKA_00063","hypothetical protein",34.6,0.594457568911676,0.679273895382563,0.539656878447299,0.506095878852057,0.358160661365151,1.06,0.084,0.298,0.766060198405605,0.970747790537389,0.918,-0.123,-0.445,0.656533527529007,1,0.842,-0.248,-0.959,0.337498408851493,0.519065328480878,0.517,-0.951,-2.112,0.0346552754282957,0.123272611430255
"NLANBGKA_00064","Oxygen-independent coproporphyrinogen-III oxidase-like protein",33.01,0.369019758055886,0.381929625316922,0.342557707120213,0.370788058107179,0.202122172172517,0.98,-0.029,-0.085,0.931986758237618,0.98830689537987,0.891,-0.167,-0.501,0.616716803950097,1,0.992,-0.011,-0.035,0.972325673423818,0.982713768225354,0.759,-0.397,-0.887,0.37498037309137,0.606808111704593
"NLANBGKA_00065","hypothetical protein",5.11,0.171531564861196,0.218796764389689,0.284742854956439,0.24781641872988,0,1.059,0.083,0.113,0.910174427553672,NA,1.349,0.432,0.621,0.534445844987339,1,1.492,0.577,0.89,0.373588343354822,0.551045270809521,0.19,-2.392,-1.802,0.0715931071823554,0.205234390168036
"NLANBGKA_00066","hypothetical protein",3.74,0.0853668718146419,0.136111940637772,0.221420679362928,0.396423938931685,0.0467577607596154,0.885,-0.176,-0.184,0.85401365898254,NA,1.273,0.348,0.395,0.693026289196553,1,2.774,1.472,1.85,0.0642684031589333,NA,0.575,-0.798,-0.605,0.544883487488474,0.745755735240705
"NLANBGKA_00067","dTDP-glucose 4,6-dehydratase",159.36,1.39236311614916,1.5585077953869,1.47741039505954,1.98110711754749,2.40345639214942,1.072,0.1,0.458,0.647260364410851,0.943283873877816,1.03,0.043,0.199,0.842211276675176,1,1.38,0.465,2.25,0.0244436170209314,0.0749146707401764,1.543,0.626,2.583,0.00980353104771126,0.0514095820577573
"NLANBGKA_00068","putative dTDP-4-dehydrorhamnose 3,5-epimerase",205.98,4.02480967215428,4.08013390920264,3.82776784588015,3.90342308283664,4.22528759920138,0.947,-0.079,-0.506,0.612706900196635,0.923408592812477,0.902,-0.149,-0.978,0.327879910256312,1,0.931,-0.104,-0.714,0.475449549887554,0.637677609915349,0.972,-0.041,-0.218,0.827774591235047,0.91204622832107
"NLANBGKA_00069","Glucose-1-phosphate thymidylyltransferase",155.1,1.67661717792355,1.72816636971233,1.67360322491481,2.55595134789864,2.69933038239939,0.983,-0.025,-0.127,0.899045890087186,0.988031274173523,0.962,-0.056,-0.291,0.770785779950728,1,1.462,0.548,3.023,0.00250138269370399,0.0118711105095852,1.393,0.478,2.137,0.0325579289803831,0.118293808628725
"NLANBGKA_00070","4-methylaminobutanoate oxidase (formaldehyde-forming)",55.18,0.64718906676004,0.558946371471179,0.608510384937899,0.4174160850704,0.675733368994331,0.786,-0.347,-1.252,0.210716778673242,0.730295434438092,0.898,-0.155,-0.581,0.561332772644198,1,0.625,-0.679,-2.636,0.00838313263701032,0.0327704275810403,0.84,-0.251,-0.732,0.464099557298731,0.684928360191357
"NLANBGKA_00071","Zinc transporter ZupT",47.58,1.18168799957117,1.33625877795073,1.38251432402223,1.06376773871623,1.2944854040436,1.018,0.026,0.092,0.926970081642927,0.98830689537987,1.07,0.097,0.355,0.72261392061435,1,0.849,-0.236,-0.901,0.367412710201228,0.545354221522534,0.776,-0.366,-0.964,0.334901080609036,0.565956864905193
"NLANBGKA_00072","GTP cyclohydrolase 1 type 2",31.05,0.476360177835902,0.536135582970154,0.421544407886369,0.50603734358964,0.337655279989283,0.989,-0.016,-0.057,0.954377344877298,0.992646578553773,0.887,-0.174,-0.621,0.534311813221522,1,1.066,0.092,0.365,0.714935530614486,0.832506196965938,0.755,-0.406,-0.965,0.334330401662908,0.565956864905193
"NLANBGKA_00073","tRNA (adenine(22)-N(1))-methyltransferase",6.22,0.128799139930863,0.102680937674108,0.100221991711641,0.132914069193469,0.05291009770167,1.017,0.024,0.039,0.968889838677974,NA,0.818,-0.291,-0.479,0.631737845740163,1,1.04,0.056,0.103,0.918110395197782,0.952834668158654,0.542,-0.882,-0.903,0.366391444583908,0.598622424448654
"NLANBGKA_00074","hypothetical protein",9.95,0.125711489316082,0.187076228913102,0.286936935174425,0.181618882219844,0.55084485278451,1.301,0.379,0.658,0.51024334418302,NA,1.956,0.968,1.835,0.0665516300287563,1,1.226,0.294,0.579,0.562754945162175,0.714265891936607,3.747,1.906,3.116,0.00183256821306837,0.0142678525160323
"NLANBGKA_00075","Phosphoglucosamine mutase",261.18,2.34113903347666,2.55789624739279,2.50510436171676,1.70883188293071,2.01058371266346,0.989,-0.016,-0.102,0.918952256370843,0.98830689537987,1.004,0.006,0.039,0.9690096786581,1,0.691,-0.533,-3.553,0.000380747425847843,0.00245582089671859,0.81,-0.303,-1.614,0.106465553198267,0.267214529902228
"NLANBGKA_00076","CdaA regulatory protein CdaR",75.18,1.10923745276907,1.08182844614902,0.913549992985241,0.66084378327968,0.714039075525341,0.908,-0.14,-0.613,0.539820122753667,0.918329804623294,0.83,-0.268,-1.201,0.229923075178516,1,0.6,-0.738,-3.428,0.000607236203661868,0.00366667307657954,0.662,-0.596,-1.961,0.0499162539680545,0.160700851382386
"NLANBGKA_00077","Cyclic di-AMP synthase CdaA",33.86,0.609192527800657,0.547922961035455,0.713068809114316,0.370745414282209,0.51334052238216,0.865,-0.209,-0.62,0.535299307150367,0.916773470774565,1.116,0.158,0.492,0.622469676928541,1,0.582,-0.781,-2.468,0.01357320178216,0.0480308561817582,0.646,-0.63,-1.374,0.169434888371517,0.360108133224143
"NLANBGKA_00078","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",77.06,0.674224069229927,0.610497547803882,0.604513600800376,0.652816040528469,0.811528119850558,0.889,-0.169,-0.783,0.433638056612057,0.86431612648956,0.86,-0.218,-1.039,0.298985481801241,1,0.916,-0.127,-0.646,0.518197194384889,0.675226647228795,1.038,0.053,0.199,0.842211965427993,0.9175276590651
"NLANBGKA_00079","Cobyric acid synthase",71.14,1.17688985112399,1.07227116594031,1.23556119552901,0.809659749743425,0.905530069062169,0.854,-0.228,-1.016,0.309475018654205,0.823557908429473,0.998,-0.003,-0.012,0.99058713784055,1,0.673,-0.572,-2.763,0.00573150066868018,0.0237807001428572,0.695,-0.524,-1.734,0.0828670984791833,0.229085493259481
