Id,Description,baseMean,All_norm,minus.ST_norm,minus.5614_norm,minus.6086_norm,minus.10675_norm,minus.SICO_norm,FoldChange.minusSTvsAll,log2FoldChange.minusSTvsAll,stat.minusSTvsAll,pvalue.minusSTvsAll,padj.minusSTvsAll,FoldChange.minus5614vsAll,log2FoldChange.minus5614vsAll,stat.minus5614vsAll,pvalue.minus5614vsAll,padj.minus5614vsAll,FoldChange.minus6086vsAll,log2FoldChange.minus6086vsAll,stat.minus6086vsAll,pvalue.minus6086vsAll,padj.minus6086vsAll,FoldChange.minus10675vsAll,log2FoldChange.minus10675vsAll,stat.minus10675vsAll,pvalue.minus10675vsAll,padj.minus10675vsAll,FoldChange.minusSICOvsAll,log2FoldChange.minusSICOvsAll,stat.minusSICOvsAll,pvalue.minusSICOvsAll,padj.minusSICOvsAll
OG1006,hypothetical protein,3002.9,3561,3300,3513,3347,1869,2428,0.927,-0.11,-0.98,0.327301346,0.468468788,0.987,-0.02,-0.174,0.861530479,0.914188061,0.939,-0.091,-0.805,0.420615667,0.629945325,0.524,-0.932,-8.257,1.49E-16,2.65E-15,0.682,-0.553,-4.904,9.38E-07,1.05E-05
OG1007,hypothetical protein,1032.36,1108.642857,2332.642857,1275,1073.428571,687.2857143,1044.285714,2.105,1.074,7.999,1.25E-15,6.74E-14,1.151,0.202,1.496,0.134620758,0.247475067,0.966,-0.05,-0.366,0.71404885,0.845048931,0.62,-0.691,-5.038,4.71E-07,2.61E-06,0.942,-0.086,-0.631,0.528031434,0.662652526
OG1008,hypothetical protein,617.43,1006.238095,751.8163265,1167.795918,862.4897959,365.0952381,559.7278912,0.747,-0.422,-2.134,0.03281265,0.083998429,1.16,0.214,1.087,0.276952942,0.43076993,0.862,-0.214,-1.075,0.282377444,0.499064507,0.362,-1.465,-7.306,2.76E-13,3.41E-12,0.556,-0.848,-4.256,2.08E-05,0.000162069
OG1009,HTH-type transcriptional regulator MalR AND HTH-type transcriptional regulator DegA,1103.05,524.6388889,561,358.4166667,748.5771605,899.7932099,727.7993827,1.071,0.098,0.834,0.404440811,0.550244364,0.684,-0.548,-4.585,4.53E-06,3.05E-05,1.427,0.513,4.32,1.56E-05,0.000173102,1.72,0.782,6.68,2.39E-11,2.45E-10,1.389,0.474,4.022,5.76E-05,0.000393995
OG101,hypothetical protein,2.25,3.369369369,1.684684685,1.684684685,0,3.369369369,1.684684685,0.52,-0.945,-0.824,0.410125907,NA,0.669,-0.581,-0.517,0.605130402,0.737078778,0.066,-3.925,-2.532,0.011332897,0.048453881,1.047,0.066,0.061,0.95117315,0.970453687,0.519,-0.945,-0.803,0.42195912,0.567677479
OG1010,hypothetical protein,804.49,832.4171429,935,985.2228571,913.6285714,786.4685714,705.2571429,1.125,0.169,1.248,0.21192426,0.34424261,1.184,0.244,1.795,0.07267592,0.14912999,1.096,0.133,0.964,0.335002741,0.55061979,0.946,-0.081,-0.591,0.554273909,0.667584853,0.848,-0.238,-1.737,0.082331632,0.173451938
OG1011,33 kDa chaperonin,1949.24,1187.509554,1152.968153,1226.815287,1217.286624,979.0700637,1201.802548,0.971,-0.042,-0.53,0.596005305,0.71897061,1.033,0.046,0.58,0.561900309,0.706003272,1.028,0.041,0.499,0.617962893,0.78314484,0.825,-0.278,-3.454,0.000552047,0.00173799,1.012,0.017,0.214,0.830431339,0.892047426
OG1012,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,137.93,132.3571429,127.5,74.07142857,239.2142857,245.2857143,187,0.966,-0.049,-0.279,0.780050962,0.855935635,0.559,-0.838,-4.447,8.73E-06,5.49E-05,1.77,0.824,4.709,2.49E-06,3.35E-05,1.85,0.888,5.229,1.70E-07,1.00E-06,1.411,0.496,2.85,0.004366155,0.016652681
OG1013,hypothetical protein,24121.14,21857.38693,31451.70854,28226.66332,19023.25628,14263.68342,21177.04523,1.439,0.525,4.261,2.03E-05,0.000198368,1.291,0.369,2.994,0.002756559,0.009422746,0.87,-0.2,-1.625,0.104108154,0.256225419,0.652,-0.616,-4.998,5.79E-07,3.18E-06,0.969,-0.046,-0.371,0.710689335,0.806055648
OG1014,Transcriptional regulator ZitR,109.12,123.8068966,177.9724138,135.4137931,87.69655172,193.4482759,125.0965517,1.437,0.523,2.6,0.009322751,0.030039005,1.088,0.122,0.593,0.55313782,0.699827227,0.754,-0.408,-1.85,0.064291652,0.18252761,1.556,0.638,3.171,0.001520109,0.004336938,1.006,0.008,0.039,0.969178497,0.979005995
OG1015,putative glycosyltransferase YkoT,588.65,329.8962264,336.9528302,355.7704403,348.1257862,345.7735849,359.8867925,1.022,0.031,0.254,0.799512765,0.868672315,1.08,0.111,0.903,0.366523588,0.525363032,1.044,0.061,0.488,0.625450157,0.787449708,1.045,0.063,0.51,0.609880464,0.716621596,1.091,0.126,1.014,0.310621023,0.459275599
OG1016,putative protein YhaP,1181.47,501.9690949,383.9072848,485.8697572,556.0463576,534.1677704,463.99117,0.765,-0.387,-3.32,0.000898806,0.004511087,0.968,-0.047,-0.409,0.682513006,0.796106612,1.107,0.146,1.249,0.211567372,0.415183507,1.065,0.091,0.781,0.434509053,0.558478376,0.923,-0.115,-0.986,0.324030972,0.472056263
OG1017,Glycerol facilitator-aquaporin gla,1930.86,1122.651568,1163.04878,992.3379791,1064.662021,1831.557491,1374.156794,1.036,0.051,0.457,0.647521615,0.758679074,0.885,-0.177,-1.59,0.111916647,0.21274841,0.949,-0.075,-0.668,0.504080268,0.696376887,1.632,0.707,6.402,1.53E-10,1.41E-09,1.224,0.292,2.628,0.008583132,0.028637819
OG1018,Macrolide export ATP-binding/permease protein MacB,2280,584.938253,647.4593373,266.9819277,800.3825301,791.6521084,760.9548193,1.107,0.147,0.822,0.411096633,0.556437096,0.456,-1.132,-6.304,2.90E-10,3.80E-09,1.369,0.453,2.532,0.011336001,0.048453881,1.354,0.438,2.453,0.014152063,0.031963086,1.301,0.38,2.128,0.033370254,0.08482451
OG1019,High-affinity zinc uptake system ATP-binding protein ZnuC,132.06,82.43265306,109.1469388,78.61632653,95.40816327,139.677551,99.9877551,1.33,0.412,2.57,0.010167986,0.032218928,0.95,-0.074,-0.445,0.656501991,0.776591555,1.137,0.185,1.089,0.276321388,0.494055037,1.701,0.766,4.844,1.28E-06,6.56E-06,1.212,0.277,1.684,0.092250669,0.188189565
OG102,Glycerol-3-phosphate cytidylyltransferase,212.36,238.8774194,330.5677419,404.1612903,297.9935484,41.01935484,224.4,1.386,0.471,2.694,0.007057655,0.024013615,1.69,0.757,4.355,1.33E-05,8.11E-05,1.238,0.308,1.712,0.086835078,0.224597127,0.163,-2.614,-12.081,1.34E-33,9.90E-32,0.941,-0.088,-0.493,0.62193715,0.737580792
OG1020,putative amino-acid-binding protein YxeM,2402.18,1745.778571,2379.575,1810.560714,1371.110714,711.2678571,1607.532143,1.362,0.446,3.175,0.001497693,0.006847167,1.036,0.052,0.367,0.713541006,0.817261311,0.785,-0.349,-2.461,0.013842931,0.05684281,0.406,-1.3,-9.152,5.56E-20,1.30E-18,0.921,-0.119,-0.843,0.3993025,0.547405524
OG1021,hypothetical protein,2798.25,3878.951389,2995.895833,2453.076389,5465.854167,3237.4375,3772.465278,0.772,-0.373,-2.74,0.006137039,0.021731482,0.632,-0.661,-4.855,1.20E-06,8.90E-06,1.407,0.493,3.623,0.000291228,0.002325012,0.835,-0.26,-1.91,0.056091837,0.106020593,0.972,-0.04,-0.296,0.766980425,0.845821323
OG1022,Ribosomal small subunit pseudouridine synthase A,247.4,147.956044,115.7619048,62.33333333,208.2344322,278.1025641,203.4395604,0.787,-0.345,-2.292,0.021911669,0.060850014,0.421,-1.249,-7.766,8.09E-15,1.75E-13,1.435,0.521,3.482,0.000498597,0.003704777,1.892,0.92,6.373,1.86E-10,1.69E-09,1.383,0.467,3.174,0.001502886,0.00663299
OG1023,UvrABC system protein C,1636.71,431.4761905,420.952381,400.984127,440.6507937,505.4126984,450.6349206,0.975,-0.037,-0.52,0.602730123,0.725047642,0.929,-0.107,-1.49,0.136196475,0.249713433,1.025,0.036,0.493,0.622074135,0.786103932,1.171,0.227,3.19,0.001420785,0.004079253,1.044,0.062,0.868,0.385157506,0.533402886
OG1024,Protein RecA,6431.43,2920.485788,2964.457364,3107.485788,3402.723514,2720.439276,3531.255814,1.015,0.021,0.245,0.806742014,0.873516001,1.064,0.09,1.027,0.304256922,0.460248135,1.165,0.221,2.519,0.011756254,0.050028816,0.932,-0.102,-1.164,0.244445162,0.357079404,1.209,0.274,3.144,0.001666044,0.007261177
OG1025,hypothetical protein,11.58,45.86792453,38.81132075,17.64150943,56.45283019,52.9245283,35.28301887,0.806,-0.312,-0.639,0.522741617,0.654951049,0.339,-1.562,-2.773,0.005545734,0.017086415,1.14,0.189,0.383,0.7020509,0.837063402,1.138,0.186,0.393,0.694418115,0.787960661,0.759,-0.398,-0.79,0.429552947,0.574385625
OG1026,Serine permease SerP1,2743.4,883.6666667,1077.592593,1047.444444,817.2592593,1680.148148,1199.814815,1.219,0.286,2.307,0.021075484,0.059098788,1.185,0.245,1.979,0.047779598,0.106448263,0.919,-0.122,-0.977,0.328767862,0.545452562,1.901,0.927,7.5,6.38E-14,8.69E-13,1.357,0.441,3.557,0.00037513,0.002001969
OG1027,Ribosomal large subunit pseudouridine synthase E,217.82,232.4864865,183.9675676,201.1513514,221.3675676,266.8540541,215.3027027,0.786,-0.347,-2.593,0.009520937,0.030477637,0.86,-0.217,-1.63,0.103032766,0.198841833,0.959,-0.06,-0.438,0.661223384,0.810328942,1.141,0.19,1.453,0.146158005,0.238354475,0.922,-0.117,-0.869,0.384899307,0.533402886
OG1028,hypothetical protein,185.72,595.4473684,418.2894737,607.75,548.6973684,310.0263158,260.8157895,0.702,-0.51,-2.455,0.014084442,0.042438484,1.02,0.029,0.141,0.888150508,0.930168142,0.932,-0.102,-0.486,0.62674221,0.787819945,0.515,-0.956,-4.527,5.98E-06,2.76E-05,0.437,-1.194,-5.546,2.92E-08,5.22E-07
OG1029,hypothetical protein,1.84,2.833333333,2.833333333,11.33333333,8.5,0,2.833333333,1.276,0.352,0.262,0.793277754,NA,4.088,2.031,1.645,0.099951726,0.194059407,2.728,1.448,1.112,0.266061285,NA,0.149,-2.742,-1.646,0.099771304,0.172140333,0.933,-0.1,-0.07,0.944567918,0.964390476
OG103,PTS system EIIBC component,381.61,105.3480916,109.3450382,144.4610687,103.6351145,95.92671756,94.49923664,1.037,0.053,0.444,0.656893546,0.765040654,1.372,0.457,3.866,0.000110523,0.000549856,0.981,-0.027,-0.218,0.827481795,0.911456572,0.908,-0.139,-1.15,0.250220592,0.364078999,0.9,-0.152,-1.244,0.213677986,0.351288289
OG1030,hypothetical protein,16.62,11.63900415,19.39834025,24.05394191,17.07053942,0,5.43153527,1.598,0.677,1.62,0.105243734,0.206404995,1.994,0.995,2.407,0.016064895,0.042405613,1.421,0.507,1.156,0.247568572,0.458946038,0.02,-5.649,-4.553,5.29E-06,2.46E-05,0.444,-1.173,-2.338,0.019388511,0.055335286
OG1031,hypothetical protein,2.77,6.303370787,6.303370787,10.50561798,0,6.303370787,4.202247191,0.943,-0.084,-0.08,0.935998741,NA,1.507,0.592,0.578,0.56335297,0.70648729,0.132,-2.916,-1.934,0.053125063,0.157866165,0.802,-0.318,-0.297,0.766720907,0.844387125,0.621,-0.687,-0.613,0.540187788,0.67251252
OG1032,hypothetical protein,28.02,34.41717791,14.91411043,5.736196319,52.77300613,56.21472393,29.82822086,0.442,-1.179,-3.292,0.000994568,0.004912823,0.15,-2.74,-5.894,3.77E-09,4.24E-08,1.555,0.637,1.958,0.050198967,0.151656615,1.615,0.692,2.201,0.027725168,0.057671179,0.856,-0.223,-0.665,0.506337005,0.643534031
OG1033,3-isopropylmalate dehydratase large subunit,14.14,8.130434783,7.317391304,8.536956522,2.845652174,2.439130435,5.284782609,0.872,-0.197,-0.466,0.641081072,0.752744783,1.044,0.063,0.15,0.880994703,0.92605358,0.425,-1.234,-2.483,0.01301469,0.054132145,0.317,-1.658,-3.379,0.000726335,0.002232675,0.67,-0.578,-1.298,0.194390039,0.327031734
OG1034,hypothetical protein,56.35,43.48837209,26.09302326,10.14728682,52.91085271,68.13178295,43.48837209,0.59,-0.762,-3.211,0.001320852,0.006153237,0.234,-2.097,-7.309,2.69E-13,4.98E-12,1.238,0.308,1.346,0.178322296,0.372771076,1.571,0.652,3.009,0.002618809,0.007117922,0.999,-0.001,-0.006,0.995058605,0.997203641
OG1035,Peptide transporter CstA,4723.39,1199.757653,1168.51148,1758.84949,1469.285714,378.2933673,784.9706633,0.974,-0.038,-0.256,0.798286114,0.868240323,1.466,0.552,3.672,0.000240545,0.001112089,1.224,0.292,1.941,0.052248412,0.156380996,0.315,-1.668,-11.031,2.72E-28,1.35E-26,0.654,-0.612,-4.063,4.83E-05,0.000339373
OG1036,hypothetical protein,58.5,167.9183673,101.1326531,122.122449,97.31632653,148.8367347,32.43877551,0.607,-0.72,-1.649,0.099208916,0.197270245,0.723,-0.467,-1.074,0.282704539,0.43614889,0.578,-0.791,-1.773,0.076200751,0.205470831,0.869,-0.203,-0.468,0.639765652,0.740580512,0.193,-2.376,-5.056,4.29E-07,5.36E-06
OG1037,hypothetical protein,1.1,1.731481481,0.865740741,0,0,2.597222222,0,0.4,-1.322,-0.648,0.517093278,NA,0.071,-3.81,-1.719,0.085620642,0.17099607,0.108,-3.217,-1.451,0.146652275,NA,1.426,0.512,0.265,0.790713382,NA,0.162,-2.624,-1.184,0.236452453,0.376309268
OG1038,hypothetical protein,50.6,31.04347826,36.2173913,15.52173913,29.56521739,73.17391304,39.17391304,1.188,0.249,0.794,0.427135474,0.571397572,0.487,-1.039,-3.052,0.002275237,0.007971195,0.965,-0.051,-0.155,0.876967015,0.936023991,2.363,1.241,4.071,4.69E-05,0.000184913,1.286,0.363,1.148,0.250966574,0.392151218
OG1039,Alcohol dehydrogenase,229.97,148.5,97.9,119.35,140.8,144.65,107.8,0.661,-0.597,-3.882,0.000103448,0.000750326,0.805,-0.313,-2.054,0.039930068,0.091795277,0.943,-0.085,-0.544,0.586670337,0.761469325,0.966,-0.05,-0.331,0.740412077,0.826350955,0.727,-0.461,-2.971,0.002967682,0.012055126
OG104,FMN-binding protein,206.32,330.6376812,302.1811594,352.3188406,296.7608696,180.2246377,214.1014493,0.916,-0.127,-0.785,0.432662798,0.575655843,1.068,0.095,0.59,0.555224664,0.701407003,0.93,-0.105,-0.629,0.5293965,0.712500201,0.547,-0.87,-5.198,2.01E-07,1.18E-06,0.648,-0.626,-3.747,0.00017866,0.001055812
OG1040,GTP pyrophosphokinase YwaC,817.41,752.1741071,766.3660714,880.7366071,609.4196429,515.0848214,570.1830357,1.018,0.026,0.261,0.794397424,0.865379703,1.17,0.227,2.298,0.021568492,0.054659339,0.807,-0.309,-3.019,0.002532013,0.014408979,0.682,-0.553,-5.481,4.24E-08,2.74E-07,0.76,-0.397,-3.929,8.52E-05,0.000561468
OG1041,Lactate utilization protein B,13039.8,4546.771429,4899.018367,4301.763265,6072.538776,4538.757143,5499.708163,1.078,0.108,0.786,0.431843309,0.574787959,0.946,-0.08,-0.583,0.560081433,0.704894233,1.335,0.417,3.042,0.002346781,0.01361556,0.999,-0.002,-0.016,0.987535207,0.991426013,1.21,0.275,2.003,0.045125637,0.108384422
OG1042,"PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL",463.18,610.671875,565.8697917,409.0625,403.21875,311.6666667,405.1666667,0.926,-0.111,-0.65,0.515894078,0.649529771,0.669,-0.58,-3.384,0.000714717,0.002883679,0.666,-0.587,-3.372,0.000746391,0.005170201,0.506,-0.983,-5.684,1.31E-08,9.12E-08,0.664,-0.592,-3.436,0.000591009,0.002990063
OG1043,hypothetical protein,2.95,2.980079681,0.74501992,1.490039841,0,3.725099602,3.725099602,0.249,-2.008,-1.831,0.067057695,NA,0.451,-1.15,-1.158,0.246799368,0.395635462,0.107,-3.23,-2.273,0.023000887,0.084162338,1.254,0.326,0.366,0.714072676,0.804886453,1.135,0.182,0.201,0.840573357,0.897183399
OG1044,hypothetical protein,0.26,2.460526316,0,0,0,2.460526316,0,0.421,-1.247,-0.323,0.746629973,NA,0.228,-2.13,-0.552,0.581020334,NA,0.345,-1.537,-0.398,0.690438773,NA,0.899,-0.154,-0.04,0.967752377,NA,0.267,-1.906,-0.494,0.621458464,NA
OG1045,hypothetical protein,0.35,0,0,0,2.921875,2.921875,2.921875,1.408,0.494,0.152,0.879074318,NA,1,0,0,1,NA,3.65,1.868,0.586,0.557598973,NA,2.555,1.353,0.422,0.672687981,NA,3.677,1.879,0.592,0.554031833,NA
OG1046,hypothetical protein,2.43,9.714285714,7.285714286,0,2.428571429,9.714285714,7.285714286,0.719,-0.475,-0.417,0.676851179,NA,0.043,-4.536,-2.884,0.003925894,0.012862913,0.471,-1.085,-0.859,0.390363762,0.600942461,1.221,0.288,0.261,0.794354337,0.864082879,0.664,-0.59,-0.503,0.614793846,0.731597683
OG1047,Anaerobic ribonucleoside-triphosphate reductase,1503.53,358.2576531,334.8826531,416.2181122,326.2959184,319.8558673,396.4209184,0.935,-0.098,-0.63,0.528688494,0.660673359,1.161,0.216,1.392,0.163916941,0.288458173,0.912,-0.132,-0.848,0.39669061,0.606063181,0.892,-0.165,-1.06,0.289087104,0.406776105,1.106,0.145,0.937,0.348725371,0.497635386
OG1048,hypothetical protein,5.84,8.597701149,4.298850575,6.448275862,15.04597701,27.94252874,15.04597701,0.462,-1.114,-1.303,0.192451504,0.322142988,0.86,-0.217,-0.28,0.779182215,0.862003804,1.565,0.646,0.858,0.391066037,0.60107525,3.195,1.676,2.43,0.015081109,0.033876409,1.642,0.716,0.98,0.327215009,0.474711373
OG1049,hypothetical protein,704.28,591.9090909,536.2727273,761.9090909,476.7727273,452.0454545,447.4090909,0.907,-0.14,-0.873,0.382780623,0.528513969,1.289,0.366,2.289,0.022062374,0.055674894,0.808,-0.307,-1.882,0.05984945,0.17309751,0.763,-0.389,-2.415,0.015719212,0.035097058,0.757,-0.402,-2.488,0.012843751,0.03992441
OG105,hypothetical protein,0.62,2.921875,0,0,2.921875,2.921875,0,0.536,-0.9,-0.348,0.727980911,NA,0.323,-1.629,-0.617,0.537343904,NA,1.044,0.062,0.024,0.980611044,NA,0.908,-0.139,-0.055,0.955882715,NA,0.194,-2.367,-0.896,0.370241431,NA
OG1050,IS3 family transposase ISEfa10,45.57,37.78756477,22.28497409,2.906735751,63.94818653,88.17098446,50.38341969,0.594,-0.751,-2.226,0.026027436,0.069473854,0.066,-3.924,-6.923,4.42E-12,7.20E-11,1.712,0.776,2.41,0.015936675,0.063614993,2.367,1.243,4.011,6.03E-05,0.000233178,1.336,0.418,1.302,0.192885203,0.325284841
OG1051,hypothetical protein,1.57,1.427480916,1.427480916,2.854961832,0,4.282442748,2.854961832,1.838,0.878,0.578,0.56298183,NA,3.141,1.651,1.128,0.259272944,0.411064039,0.329,-1.604,-0.887,0.374880089,NA,4.616,2.207,1.537,0.124284673,0.207667463,2.671,1.417,0.947,0.343608179,0.492375104
OG1052,hypothetical protein,1.61,4.895287958,0.979057592,0,0,2.937172775,0.979057592,0.126,-2.993,-1.577,0.114883645,NA,0.032,-4.948,-2.453,0.014168094,0.038076718,0.094,-3.415,-1.702,0.088700238,NA,0.592,-0.756,-0.445,0.656641707,0.755345502,0.189,-2.405,-1.297,0.194773854,0.327414145
OG1053,hypothetical protein,88.62,146.7594937,359.7974684,314.8227848,217.7721519,47.34177215,172.7974684,2.478,1.309,5.357,8.46E-08,1.51E-06,2.15,1.104,4.49,7.12E-06,4.57E-05,1.447,0.533,2.066,0.03884258,0.126230218,0.304,-1.719,-5.8,6.64E-09,4.72E-08,1.18,0.238,0.93,0.352155649,0.501333527
OG1054,Glucose-1-phosphate thymidylyltransferase 1,4690.71,2805,3298.058824,3386.705882,3354.352941,2363.705882,3003,1.176,0.234,3.092,0.001990091,0.008467737,1.208,0.272,3.599,0.000320021,0.00143512,1.196,0.258,3.385,0.000712747,0.004998283,0.844,-0.245,-3.229,0.001240349,0.003604351,1.071,0.099,1.3,0.193475354,0.325886023
OG1055,HTH-type transcriptional activator RhaS,171.28,121.4061538,90.33538462,116.8030769,111.6246154,73.64923077,77.10153846,0.735,-0.445,-3.152,0.001620094,0.007227862,0.958,-0.062,-0.447,0.65457866,0.774973717,0.904,-0.145,-1.001,0.316734134,0.53388,0.605,-0.724,-5,5.75E-07,3.15E-06,0.631,-0.665,-4.535,5.75E-06,5.07E-05
OG1056,LexA repressor,588.28,385.3716216,476.3445946,641.2331081,413.8006757,3.790540541,309.5608108,1.232,0.302,2.292,0.021907545,0.060850014,1.66,0.731,5.583,2.36E-08,2.33E-07,1.067,0.093,0.694,0.487945333,0.68510929,0.009,-6.765,-19.466,2.13E-84,7.90E-82,0.801,-0.319,-2.381,0.017276268,0.050583558
OG1057,Alpha-amylase,28.52,11.39809524,8.192380952,10.68571429,9.260952381,11.39809524,9.973333333,0.732,-0.45,-1.254,0.209940614,0.341384753,0.958,-0.063,-0.178,0.859066642,0.913426894,0.864,-0.211,-0.568,0.569706935,0.746505875,0.996,-0.006,-0.017,0.986426147,0.991253914,0.908,-0.14,-0.39,0.696599601,0.797202607
OG1058,hypothetical protein,0.05,0,0,0,0,0,0,1,0,0,1,NA,1,0,0,1,NA,2.336,1.224,0.233,0.816023666,NA,1,0,0,1,NA,1,0,0,1,NA
OG1059,Adenine phosphoribosyltransferase,929.48,639.8432432,1158.389189,982.5081081,628.7243243,1011.821622,1213.983784,1.81,0.856,6.004,1.93E-09,4.58E-08,1.536,0.619,4.329,1.50E-05,9.04E-05,0.974,-0.038,-0.256,0.797684839,0.894963477,1.581,0.661,4.626,3.74E-06,1.78E-05,1.897,0.924,6.468,9.95E-11,3.75E-09
OG106,Nitronate monooxygenase,10.52,6.65480427,6.65480427,6.65480427,3.992882562,9.982206406,7.985765125,0.987,-0.019,-0.031,0.97520438,0.985466368,0.993,-0.01,-0.017,0.986538343,0.993630634,0.6,-0.737,-1.094,0.273770365,0.490425911,1.469,0.555,0.939,0.347722861,0.471141942,1.287,0.365,0.606,0.544670027,0.675803159
OG1060,Glycerate dehydrogenase AND Glyoxylate/hydroxypyruvate reductase A,2227.42,1516.713846,1036.843077,1081.723077,1612.227692,1164.003077,1277.929231,0.684,-0.548,-5.062,4.14E-07,6.27E-06,0.713,-0.488,-4.503,6.71E-06,4.35E-05,1.066,0.092,0.85,0.395524926,0.605031003,0.768,-0.381,-3.514,0.000440738,0.001423844,0.843,-0.247,-2.281,0.022542043,0.062517714
OG1061,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI,705.72,197.5090909,152.6909091,131.3636364,273.2363636,306,247.5818182,0.776,-0.366,-3.037,0.002391565,0.009882454,0.667,-0.585,-4.806,1.54E-06,1.11E-05,1.378,0.463,3.836,0.00012483,0.001126972,1.555,0.637,5.375,7.65E-08,4.76E-07,1.254,0.327,2.734,0.006256372,0.022183611
