medium	description	compound	name
milk_ana	Full milk anaerobic	ser__L	L-Serine
milk_ana	Full milk anaerobic	thr__L	L-Threonine
milk_ana	Full milk anaerobic	trp__L	tryptophan
milk_ana	Full milk anaerobic	tyr__L	L-Tyrosine
milk_ana	Full milk anaerobic	val__L	L-Valine
milk_ana	Full milk anaerobic	lcts	Lactose
milk_ana	Full milk anaerobic	glc__D	D-Glucose
milk_ana	Full milk anaerobic	gal	D-Galactose
milk_ana	Full milk anaerobic	gal_bD	Beta D-Galactose
milk_ana	Full milk anaerobic	cit	Citrate
milk_ana	Full milk anaerobic	lac__D	D-Lactate
milk_ana	Full milk anaerobic	lac__L	L-Lactate
milk_ana	Full milk anaerobic	for	Formate
milk_ana	Full milk anaerobic	ac	Acetate
milk_ana	Full milk anaerobic	oxa	Oxalate
milk_ana	Full milk anaerobic	pydx	Pyridoxal
milk_ana	Full milk anaerobic	cbl1	Vitamin B12
milk_ana	Full milk anaerobic	thm	Thiamin
milk_ana	Full milk anaerobic	pnto__R	(R)-Pantothenate
milk_ana	Full milk anaerobic	fol	Folate
milk_ana	Full milk anaerobic	ribflv	Riboflavin
milk_ana	Full milk anaerobic	nac	Isonicotinic acid
milk_ana	Full milk anaerobic	btn	Biotin
milk_ana	Full milk anaerobic	but	Butyrate
milk_ana	Full milk anaerobic	caproic	Caproic acid
milk_ana	Full milk anaerobic	octa	octanoate
milk_ana	Full milk anaerobic	dca	decanoate
milk_ana	Full milk anaerobic	ddca	dodecanoate
milk_ana	Full milk anaerobic	ttdca	tetradecanoate
milk_ana	Full milk anaerobic	ptdca	Pentadecanoate
milk_ana	Full milk anaerobic	hdca	hexadecanoate
milk_ana	Full milk anaerobic	ocdca	octadecanoate
milk_ana	Full milk anaerobic	arach	arachidic acid
milk_ana	Full milk anaerobic	ttdcea	Tetradecenoate (n-C14:1)
milk_ana	Full milk anaerobic	hdcea	hexadecanoate (n-C16:1)
milk_ana	Full milk anaerobic	ocdcea	octadecanoate (n-C18:1)
milk_ana	Full milk anaerobic	lnlc	linoleic acid
milk_ana	Full milk anaerobic	arachd	arachidonic acid
milk_ana	Full milk anaerobic	ade	Adenine
milk_ana	Full milk anaerobic	gua	Guanine
milk_ana	Full milk anaerobic	ins	Inosine
milk_ana	Full milk anaerobic	thymd	Thymidine
milk_ana	Full milk anaerobic	ura	Uracil
milk_ana	Full milk anaerobic	xan	Xanthine
mm_aer	Minimal milk medium aerobic	btn	biotin (B7)
mm_aer	Minimal milk medium aerobic	ca2	calcium
mm_aer	Minimal milk medium aerobic	cbl1	cobalamin (B12)
mm_aer	Minimal milk medium aerobic	cl	chloride
mm_aer	Minimal milk medium aerobic	cobalt2	cobalt
mm_aer	Minimal milk medium aerobic	cu	copper
mm_aer	Minimal milk medium aerobic	cu2	copper
mm_aer	Minimal milk medium aerobic	fe2	iron
mm_aer	Minimal milk medium aerobic	fe3	iron
mm_aer	Minimal milk medium aerobic	fol	folate (B9)
mm_aer	Minimal milk medium aerobic	k	potassium
mm_aer	Minimal milk medium aerobic	mg2	magnesium
mm_aer	Minimal milk medium aerobic	mn2	manganese
mm_aer	Minimal milk medium aerobic	nac	nicotinate (B3)
mm_aer	Minimal milk medium aerobic	pi	inorganic phosphate
mm_aer	Minimal milk medium aerobic	pnto__R	(R)-pantothenate (B5)
mm_aer	Minimal milk medium aerobic	pydx	pyridoxal (B6)
mm_aer	Minimal milk medium aerobic	ribflv	riboflavin (B2)
mm_aer	Minimal milk medium aerobic	so4	sulfate
mm_aer	Minimal milk medium aerobic	thm	thiamin (B1)
mm_aer	Minimal milk medium aerobic	zn2	zinc
mm_aer	Minimal milk medium aerobic	lcts	lactose
mm_aer	Minimal milk medium aerobic	ade	adenine
mm_aer	Minimal milk medium aerobic	gua	guanine
mm_aer	Minimal milk medium aerobic	thymd	thymidine
mm_aer	Minimal milk medium aerobic	ura	uracil
mm_aer	Minimal milk medium aerobic	h2o	water
mm_aer	Minimal milk medium aerobic	co2	carbon dioxide
mm_aer	Minimal milk medium aerobic	h	hydrogen
mm_aer	Minimal milk medium aerobic	na1	sodium
mm_aer	Minimal milk medium aerobic	cit	citrate
mm_aer	Minimal milk medium aerobic	o2	oxygen
mm_ana	Minimal milk medium anaerobic	btn	biotin (B7)
mm_ana	Minimal milk medium anaerobic	ca2	calcium
mm_ana	Minimal milk medium anaerobic	cbl1	cobalamin (B12)
mm_ana	Minimal milk medium anaerobic	cl	chloride
mm_ana	Minimal milk medium anaerobic	cobalt2	cobalt
mm_ana	Minimal milk medium anaerobic	cu	copper
mm_ana	Minimal milk medium anaerobic	cu2	copper
mm_ana	Minimal milk medium anaerobic	fe2	iron
mm_ana	Minimal milk medium anaerobic	fe3	iron
mm_ana	Minimal milk medium anaerobic	fol	folate (B9)
mm_ana	Minimal milk medium anaerobic	k	potassium
mm_ana	Minimal milk medium anaerobic	mg2	magnesium
mm_ana	Minimal milk medium anaerobic	mn2	manganese
mm_ana	Minimal milk medium anaerobic	nac	nicotinate (B3)
mm_ana	Minimal milk medium anaerobic	pi	inorganic phosphate
mm_ana	Minimal milk medium anaerobic	pnto__R	(R)-pantothenate (B5)
mm_ana	Minimal milk medium anaerobic	pydx	pyridoxal (B6)
mm_ana	Minimal milk medium anaerobic	ribflv	riboflavin (B2)
mm_ana	Minimal milk medium anaerobic	so4	sulfate
mm_ana	Minimal milk medium anaerobic	thm	thiamin (B1)
mm_ana	Minimal milk medium anaerobic	zn2	zinc
mm_ana	Minimal milk medium anaerobic	lcts	lactose
mm_ana	Minimal milk medium anaerobic	ade	adenine
mm_ana	Minimal milk medium anaerobic	gua	guanine
mm_ana	Minimal milk medium anaerobic	thymd	thymidine
mm_ana	Minimal milk medium anaerobic	ura	uracil
mm_ana	Minimal milk medium anaerobic	h2o	water
mm_ana	Minimal milk medium anaerobic	co2	carbon dioxide
mm_ana	Minimal milk medium anaerobic	h	hydrogen
mm_ana	Minimal milk medium anaerobic	na1	sodium
mm_ana	Minimal milk medium anaerobic	cit	citrate
